sample	sample	Batch
GSM540372	GSM540372	4
GSM540371	GSM540371	4
GSM540369	GSM540369	4
GSM540368	GSM540368	4
GSM540366	GSM540366	4
GSM540365	GSM540365	4
GSM540364	GSM540364	4
GSM540362	GSM540362	4
GSM540361	GSM540361	4
GSM540360	GSM540360	4
GSM540359	GSM540359	4
GSM540357	GSM540357	4
GSM540356	GSM540356	4
GSM540355	GSM540355	4
GSM540353	GSM540353	4
GSM540352	GSM540352	4
GSM540351	GSM540351	4
GSM540348	GSM540348	4
GSM540345	GSM540345	4
GSM540331	GSM540331	4
GSM540325	GSM540325	4
GSM540310	GSM540310	4
GSM540307	GSM540307	4
GSM540304	GSM540304	4
GSM540302	GSM540302	4
GSM540294	GSM540294	4
GSM540292	GSM540292	4
GSM540291	GSM540291	4
GSM540288	GSM540288	4
GSM540285	GSM540285	4
GSM540282	GSM540282	4
GSM540281	GSM540281	4
GSM540276	GSM540276	4
GSM540273	GSM540273	4
GSM540271	GSM540271	4
GSM540267	GSM540267	4
GSM540264	GSM540264	4
GSM540261	GSM540261	4
GSM540260	GSM540260	4
GSM540256	GSM540256	4
GSM540255	GSM540255	4
GSM540254	GSM540254	4
GSM540249	GSM540249	4
GSM540248	GSM540248	4
GSM540238	GSM540238	4
GSM540237	GSM540237	4
GSM540236	GSM540236	4
GSM540219	GSM540219	4
GSM540215	GSM540215	4
GSM540214	GSM540214	4
GSM540209	GSM540209	4
GSM540206	GSM540206	4
GSM540195	GSM540195	4
GSM540186	GSM540186	4
GSM540183	GSM540183	4
GSM540181	GSM540181	4
GSM540176	GSM540176	4
GSM540167	GSM540167	4
GSM540164	GSM540164	4
GSM540156	GSM540156	4
GSM540151	GSM540151	4
GSM540147	GSM540147	4
GSM540146	GSM540146	4
GSM540140	GSM540140	4
GSM540138	GSM540138	4
GSM540132	GSM540132	4
GSM540130	GSM540130	4
GSM540127	GSM540127	4
GSM540125	GSM540125	4
GSM540124	GSM540124	4
GSM540121	GSM540121	4
GSM540119	GSM540119	4
GSM540118	GSM540118	4
GSM540117	GSM540117	4
GSM540370	GSM540370	4
GSM540358	GSM540358	4
GSM540354	GSM540354	4
GSM540346	GSM540346	4
GSM540339	GSM540339	4
GSM540327	GSM540327	4
GSM540323	GSM540323	4
GSM540309	GSM540309	4
GSM540297	GSM540297	4
GSM540289	GSM540289	4
GSM540283	GSM540283	4
GSM540274	GSM540274	4
GSM540272	GSM540272	4
GSM540268	GSM540268	4
GSM540265	GSM540265	4
GSM540257	GSM540257	4
GSM540251	GSM540251	4
GSM540250	GSM540250	4
GSM540216	GSM540216	4
GSM540213	GSM540213	4
GSM540180	GSM540180	4
GSM540174	GSM540174	4
GSM540162	GSM540162	4
GSM540111	GSM540111	4
GSM540363	GSM540363	4
GSM540350	GSM540350	4
GSM540349	GSM540349	4
GSM540347	GSM540347	4
GSM540344	GSM540344	4
GSM540340	GSM540340	4
GSM540338	GSM540338	4
GSM540337	GSM540337	4
GSM540335	GSM540335	4
GSM540334	GSM540334	4
GSM540330	GSM540330	4
GSM540329	GSM540329	4
GSM540328	GSM540328	4
GSM540324	GSM540324	4
GSM540322	GSM540322	4
GSM540321	GSM540321	4
GSM540318	GSM540318	4
GSM540317	GSM540317	4
GSM540315	GSM540315	4
GSM540313	GSM540313	4
GSM540305	GSM540305	4
GSM540296	GSM540296	4
GSM540287	GSM540287	4
GSM540286	GSM540286	4
GSM540280	GSM540280	4
GSM540279	GSM540279	4
GSM540275	GSM540275	4
GSM540262	GSM540262	4
GSM540258	GSM540258	4
GSM540247	GSM540247	4
GSM540246	GSM540246	4
GSM540243	GSM540243	4
GSM540241	GSM540241	4
GSM540240	GSM540240	4
GSM540239	GSM540239	4
GSM540234	GSM540234	4
GSM540233	GSM540233	4
GSM540232	GSM540232	4
GSM540230	GSM540230	4
GSM540229	GSM540229	4
GSM540228	GSM540228	4
GSM540227	GSM540227	4
GSM540225	GSM540225	4
GSM540223	GSM540223	4
GSM540222	GSM540222	4
GSM540220	GSM540220	4
GSM540212	GSM540212	4
GSM540211	GSM540211	4
GSM540210	GSM540210	4
GSM540207	GSM540207	4
GSM540205	GSM540205	4
GSM540204	GSM540204	4
GSM540203	GSM540203	4
GSM540202	GSM540202	4
GSM540200	GSM540200	4
GSM540199	GSM540199	4
GSM540198	GSM540198	4
GSM540197	GSM540197	4
GSM540194	GSM540194	4
GSM540193	GSM540193	4
GSM540192	GSM540192	4
GSM540191	GSM540191	4
GSM540190	GSM540190	4
GSM540189	GSM540189	4
GSM540188	GSM540188	4
GSM540185	GSM540185	4
GSM540179	GSM540179	4
GSM540178	GSM540178	4
GSM540175	GSM540175	4
GSM540173	GSM540173	4
GSM540172	GSM540172	4
GSM540171	GSM540171	4
GSM540170	GSM540170	4
GSM540169	GSM540169	4
GSM540163	GSM540163	4
GSM540160	GSM540160	4
GSM540153	GSM540153	4
GSM540150	GSM540150	4
GSM540145	GSM540145	4
GSM540144	GSM540144	4
GSM540136	GSM540136	4
GSM540135	GSM540135	4
GSM540134	GSM540134	4
GSM540133	GSM540133	4
GSM540129	GSM540129	4
GSM540126	GSM540126	4
GSM540122	GSM540122	4
GSM540114	GSM540114	4
GSM540112	GSM540112	4
GSM540343	GSM540343	4
GSM540342	GSM540342	4
GSM540341	GSM540341	4
GSM540336	GSM540336	4
GSM540333	GSM540333	4
GSM540332	GSM540332	4
GSM540326	GSM540326	4
GSM540320	GSM540320	4
GSM540316	GSM540316	4
GSM540311	GSM540311	4
GSM540306	GSM540306	4
GSM540303	GSM540303	4
GSM540299	GSM540299	4
GSM540298	GSM540298	4
GSM540295	GSM540295	4
GSM540284	GSM540284	4
GSM540278	GSM540278	4
GSM540277	GSM540277	4
GSM540270	GSM540270	4
GSM540269	GSM540269	4
GSM540266	GSM540266	4
GSM540253	GSM540253	4
GSM540245	GSM540245	4
GSM540231	GSM540231	4
GSM540226	GSM540226	4
GSM540224	GSM540224	4
GSM540221	GSM540221	4
GSM540201	GSM540201	4
GSM540196	GSM540196	4
GSM540182	GSM540182	4
GSM540177	GSM540177	4
GSM540168	GSM540168	4
GSM540166	GSM540166	4
GSM540165	GSM540165	4
GSM540161	GSM540161	4
GSM540152	GSM540152	4
GSM540149	GSM540149	4
GSM540148	GSM540148	4
GSM540142	GSM540142	4
GSM540139	GSM540139	4
GSM540137	GSM540137	4
GSM540131	GSM540131	4
GSM540128	GSM540128	4
GSM540123	GSM540123	4
GSM540120	GSM540120	4
GSM540116	GSM540116	4
GSM540110	GSM540110	4
GSM540109	GSM540109	4
GSM540108	GSM540108	4
GSM540367	GSM540367	4
GSM540319	GSM540319	4
GSM540314	GSM540314	4
GSM540312	GSM540312	4
GSM540308	GSM540308	4
GSM540301	GSM540301	4
GSM540300	GSM540300	4
GSM540293	GSM540293	4
GSM540290	GSM540290	4
GSM540263	GSM540263	4
GSM540259	GSM540259	4
GSM540252	GSM540252	4
GSM540244	GSM540244	4
GSM540242	GSM540242	4
GSM540235	GSM540235	4
GSM540218	GSM540218	4
GSM540217	GSM540217	4
GSM540208	GSM540208	4
GSM540187	GSM540187	4
GSM540184	GSM540184	4
GSM540159	GSM540159	4
GSM540158	GSM540158	4
GSM540157	GSM540157	4
GSM540155	GSM540155	4
GSM540154	GSM540154	4
GSM540143	GSM540143	4
GSM540141	GSM540141	4
GSM540115	GSM540115	4
GSM540113	GSM540113	4
